,0,1,2,3,4,5
168,11514120,"Hot chocolate / Cocoa, made with dry mix and reduced fat milk","cocoa mix, NFS; Swiss Miss; Hershey's; Nestle's; Carnation; NS as to type of milk; 2% fat",2a,1204,"Flavored milk, reduced fat"
169,11514130,"Hot chocolate / Cocoa, made with dry mix and low fat milk","cocoa mix, NFS; Swiss Miss; Hershey's; Nestle's; Carnation; 1% fat",2a,1206,"Flavored milk, lowfat"
170,11514140,"Hot chocolate / Cocoa, made with dry mix and fat free milk","nonfat milk; cocoa mix, NFS; Swiss Miss; Hershey's; Nestle's; Carnation; skim",2a,1208,"Flavored milk, nonfat"
171,11514150,"Hot chocolate / Cocoa, made with dry mix and non-dairy milk","almond, coconut, rice, and soy milk; cocoa mix, NFS; Swiss Miss; Hershey's; Nestle's; Carnation",2,1404,Milk substitutes
172,11514310,"Hot chocolate / Cocoa, made with no sugar added dry mix and water","fat free, light, diet or sugar free mix; Swiss Miss; Hershey's; Nestle's; Carnation",1,1208,"Flavored milk, nonfat"
173,11514320,"Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk","fat free, light, diet or sugar free; Swiss Miss; Hershey's; Nestle's; Carnation",1,1202,"Flavored milk, whole"
174,11514330,"Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk","fat free, light, diet or sugar free mix; Swiss Miss; Hershey's; Nestle's; Carnation; NS as to type of milk; 2% fat",1,1204,"Flavored milk, reduced fat"
175,11514340,"Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk","fat free, light, diet or sugar free mix; Swiss Miss; Nestle's; Carnation; H ershey's; 1% fat",1,1206,"Flavored milk, lowfat"
176,11514350,"Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk","nonfat milk; fat free, light, diet or sugar free mix; Swiss Miss; Hershey's; Nestle's; Carnation; skim",1,1208,"Flavored milk, nonfat"
177,11514360,"Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk","almond, coconut, rice, and soy milk; fat free, light, diet or sugar free mix; Swiss Miss; Hershey's; Nestle's; Carnation",1,1404,Milk substitutes
178,11519040,"Strawberry milk, NFS",NS as to milk or drink; vanilla; flavors other than chocolate,1,1204,"Flavored milk, reduced fat"
179,11519050,"Strawberry milk, whole",flavors other than chocolate; vanilla,2a,1202,"Flavored milk, whole"
180,11519105,"Strawberry milk, reduced fat",vanilla; flavors other than chocolate; 2% fat,2a,1204,"Flavored milk, reduced fat"
181,11519200,"Strawberry milk, low fat",vanilla; flavors other than chocolate; 1% fat,2a,1206,"Flavored milk, lowfat"
182,11519205,"Strawberry milk, fat free",nonfat milk; vanilla; flavors other than chocolate; skim,2a,1208,"Flavored milk, nonfat"
183,11519215,"Strawberry milk, non-dairy","almond, coconut, rice, or soy milk",2,1404,Milk substitutes
184,11526000,"Milk, malted",Ovaltine; NS as to flavor; all flavors,1,1204,"Flavored milk, reduced fat"
185,11531000,"Eggnog, regular","eggnog, NFS; made with whole milk",1,1402,Milk shakes and other dairy drinks
186,11531500,"Eggnog, lowfat / light",made with low fat or reduced fat milk,,1402,Milk shakes and other dairy drinks
187,11541110,"Milk shake, home recipe, chocolate",regular ice cream and/or whole or 2% reduced fat milk; restaurant or ice cream shop; frozen mix,2a,1402,Milk shakes and other dairy drinks
188,11541120,"Milk shake, home recipe, flavors other than chocolate",regular ice cream and/or whole or 2% reduced fat milk; restaurant or ice cream shop; frozen mix; NS as to flavor,2a,1402,Milk shakes and other dairy drinks
189,11541130,"Milk shake, home recipe, chocolate, light","reduced fat ice cream and/or 1% low fat, skim, nonfat, or fat free milk; restaurant or ice cream shop",2a,1402,Milk shakes and other dairy drinks
190,11541135,"Milk shake, home recipe, flavors other than chocolate, light","reduced fat ice cream and/or 1% low fat, skim, nonfat, fat free milk; restaurant or ice cream shop; NS as to flavor",2a,1402,Milk shakes and other dairy drinks
191,11541400,Milk shake with malt,malted milk with ice cream,2a,1402,Milk shakes and other dairy drinks
192,11542100,"Milk shake, fast food, chocolate",Burger King; Dairy Queen; McDonald's; Wendy's Frosty Shakes; Jack in the Box; Arby's; Dunkin Donuts; Sonic; from other place,,1402,Milk shakes and other dairy drinks
193,11542200,"Milk shake, fast food, flavors other than chocolate",Burger King; Dairy Queen; McDonald's; Wendy's Frosty Shakes; Jack in the Box; Arby's; Dunkin Donuts; Sonic; from other place; NS as to flavor or type,,1402,Milk shakes and other dairy drinks
194,11543000,"Milk shake, bottled, chocolate",canned; reconstituted dry mix; Hershey's; Chug,,1402,Milk shakes and other dairy drinks
